macaddress;datetime;cpu;ram;disco;uptime;bytes_enviados;bytes_recebidos;pacotes_perdidos
80160640191877;2025-11-19 20:22:46.005858;7.8;74.0;26.6;270438.006598;4554.403599739075;5776.869773864746;5191
80160640191877;2025-11-19 20:23:46.039605;8.5;74.2;26.6;270498.040676;4574.163856506348;5796.652689933777;5191
80160640191877;2025-11-19 20:24:46.076746;8.8;74.0;26.6;270558.077599;4595.417499542236;5817.92524433136;5195
80160640191877;2025-11-19 20:25:46.118914;8.5;74.3;26.6;270618.119676;4609.542016983032;5832.081544876099;5195
80160640191877;2025-11-19 20:26:46.153652;7.8;74.2;26.6;270678.154767;4627.646299362183;5850.210425376892;5199
80160640191877;2025-11-19 20:27:46.192192;7.5;74.2;26.6;270738.193136;4636.7827405929565;5859.370809555054;5199
80160640191877;2025-11-19 20:28:46.232725;10.2;74.5;26.6;270798.23361;4676.076342582703;5898.686532974243;5203
80160640191877;2025-11-19 20:29:46.277771;4.9;74.5;26.6;270858.278676;4676.338512420654;5898.975131988525;5203
80160640191877;2025-11-19 20:30:46.318340;2.1;74.4;26.6;270918.319198;4676.437572479248;5899.0936460494995;5207
80160640191877;2025-11-19 20:31:46.353202;1.9;74.3;26.6;270978.353977;4676.530704498291;5899.205352783203;5207
80160640191877;2025-11-19 20:32:46.393419;5.1;74.6;26.6;271038.393769;4678.817569732666;5901.515674591064;5207
80160640191877;2025-11-19 20:33:46.428030;4.8;74.4;26.6;271098.428866;4678.909324645996;5901.630060195923;5207
80160640191877;2025-11-19 20:34:46.464095;3.8;74.2;26.6;271158.465016;4678.980445861816;5901.72462272644;5211
80160640191877;2025-11-19 20:35:46.504158;4.7;74.7;26.6;271218.50507;4679.071562767029;5901.8389139175415;5211
80160640191877;2025-11-19 20:36:46.542537;4.1;74.3;26.6;271278.543444;4679.1609926223755;5901.952617645264;5215
80160640191877;2025-11-19 20:37:46.582930;4.0;74.3;26.6;271338.583722;4679.2539167404175;5902.081867218018;5215
80160640191877;2025-11-19 20:38:46.621717;9.5;74.7;26.6;271398.622577;4720.72332572937;5943.5719537734985;5219
80160640191877;2025-11-19 20:39:46.652673;11.8;74.2;26.6;271458.653576;4769.779287338257;5992.650267601013;5219
80160640191877;2025-11-19 20:40:46.687928;5.0;74.7;26.6;271518.688688;4772.637225151062;5995.532958984375;5219
